Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,PosÂ Summary,Name-additional
Bill Byrd,29,13,10,,81.0,35,9,26,0,3,1.000,2.69,,0,1,0,0%,0%,,P-2B-LF,byrdbi01
Roy Campanella,15,6,5,,43.0,25,23,2,0,0,1.000,4.17,1,,1,,,,,C,camparo01
Jimmy Direaux,21,10,8,,64.1,15,2,13,0,2,1.000,1.50,,5,2,0,0%,0%,,P-RF,direaji01
Jonas Gaines,22,2,2,,10.0,4,0,4,0,1,1.000,2.00,,0,0,0,,,,P,gainejo02
Tom Glover,24,10,5,,53.1,11,1,10,0,1,1.000,1.10,,0,4,0,0%,0%,,P,gloveto01
Robert Griffith,24,2,2,,17.0,6,0,6,0,0,1.000,3.00,,0,1,0,0%,0%,,P,griffro02
Sammy Hughes,26,26,25,,198.0,134,53,75,6,13,.955,4.92,,0,0,0,,,,2B-SS-P,hughesa01
Henry Kimbro,25,33,33,,264.1,47,41,2,4,1,.915,1.30,,,,,,,,LF,kimbrhe01
Biz Mackey,39,20,19,,158.0,137,112,20,5,2,.964,6.60,0,,8,,,,,C,mackebi99
Leroy Morney,28,33,30,,250.1,121,44,67,10,5,.917,3.36,,,,,,,,3B-2B-LF-RF-SS,mornele01
Andy Porter,26,11,8,,61.2,21,6,15,0,0,1.000,1.91,,0,1,0,0%,0%,,P-LF,portean01
Felton Snow,31,23,22,,176.0,75,22,51,2,4,.973,3.17,,0,0,0,,,,3B-2B-SS-P,snowfe01
Arnold Waites,22,2,0,,0.2,0,0,0,0,0,,0.00,,0,0,0,,,,P,waitear01
Hoss Walker,32,37,37,,295.1,193,64,111,18,14,.907,4.73,,,,,,,,SS-3B,walkeho01
Jim West,32,37,37,,297.1,396,374,18,4,23,.990,10.59,,,,,,,,1B,westji01
Jim Willis,--,2,0,,5.1,1,0,1,0,0,1.000,0.50,,0,0,0,,,,P,williji05
Nish Williams,33,14,13,,96.1,56,42,12,2,0,.964,3.86,1,,0,,,,,C,willini02
Woody Williams,18,9,5,,29.1,8,1,7,0,0,1.000,0.89,,0,0,0,,,,P,williwo03
Wild Bill Wright,23,37,37,,297.1,65,58,4,3,0,.954,1.68,,,,,,,,CF-RF,wrighwi01
Zollie Wright,27,35,35,,277.1,45,40,4,1,1,.978,1.26,,,,,,,,RF-CF,wrighzo01
Team Totals,29.2,62,222,,2676.0,1395,892,448,55,27,.961,5.40,2,5,9,0,0%,0%,,,-9999
Rank in 6 NN2 teams,,,,,,,,,3,,5,,,,,,,,,,-9999
