"","Player","HR9","BB9","SO9"
"Max","Max",1.4,10.1,10.1
"Min","Min",0,1.1,1.3
"Average","Average",0.295903614457831,3.39793103448276,4.21977011494253
"1","Garnett Blair",0,2.7,3.9
"2","Roy Parnell",0,3,3.8
"3","Lázaro Salazar",0.6,1.9,5.3
"4","Ford Smith",0.2,2.8,5.6
"5","Ben Taylor",0.3,2,3
"6","Lino Donoso",0.5,2.9,7.4
"7","Gene Richardson",0.1,3.8,8.3
"8","Bill Powell",0.5,3.3,6.8
"9","Dave Brown",0.1,2.7,5.9
"10","Jay Heard",0.4,2.7,6.3
"11","Satchel Paige",0.1,2,8.6
"12","Bill Foster",0.2,2.9,5.5
"13","Smoky Owens",0,2.4,2.6
"14","Dick Matthews",NA,1.4,4.6
"15","José Leblanc",0.2,2.3,4.9
"16","Bullet Rogan",0.1,2.4,5.5
"17","George Walker",0.1,2,5.5
"18","Booker McDaniel",0.1,2.4,6.8
"19","Frank Blake",0.3,5.3,9
"20","Jimmy Johnson",NA,2.4,7.7
"21","Ray Brown",0.2,2.4,4.2
"22","Juan Padrón",0.3,2.2,4.7
"23","Vet Barnes",0.7,2.1,7.4
"24","Frank Bradley",0,2.3,7.5
"25","Johnny Wright",0.1,2.5,4.7
"26","Amos Watson",0.1,4.4,4.8
"27","Hilton Smith",0.1,1.8,5.6
"28","Martín Dihigo",0.4,2.7,5.5
"29","Tom Williams",0.2,2.4,3.6
"30","Roy Partlow",0.2,2.8,5.7
"31","Bob Romby",0.1,4.3,7.2
"32","Donald Troy",0.1,4,4.7
"33","Slim Jones",0.5,2.8,6.3
"34","Louis Dula",0.4,3.2,3.8
"35","Red Ryan",0.3,2.3,3.5
"36","Alto Lane",0.1,3.6,4.7
"37","William Bell",0.1,2,3.9
"38","Dave Barnhill",0.3,2.7,5.9
"39","Lefty Wilson",0,2.4,6.1
"40","Wilmer Fields",0.3,2.9,4
"41","Bill Ricks",0.2,3.3,5.2
"42","Leon Day",0.3,3.4,6.3
"43","Porter Charleston",0.4,2.5,4.3
"44","Rufus Lewis",0.4,2.6,6.1
"45","Herb Smith",0.4,5,2.7
"46","Hubert Wilson",0,3.6,3.5
"47","George Harney",0.1,2.2,3.9
"48","Ed Rile",0.1,2.8,3.5
"49","George Jefferson",0.5,2.7,3.2
"50","Joe Williams",0.2,1.7,5.1
"51","Jim LaMarque",0.1,2.4,6
"52","Antonio Ruiz",0.3,1.9,4
"53","Bill Byrd",0.2,1.9,4.8
"54","Jesse Houston",0.2,2.7,5.4
"55","Max Manning",0.1,2.6,5.2
"56","Nip Winters",0.4,3,4.4
"57","Webbo Clarke",0.3,3.3,4.4
"58","Rats Henderson",0.3,3,4.8
"59","Chet Brewer",0.2,3,4.4
"60","Ted Trent",0.2,3,5.2
"61","Willis Flournoy",0.3,2.8,4.1
"62","Leroy Sutton",0.1,2.1,3
"63","Luis Tiant",0.1,3.4,6.6
"64","José Méndez",0.2,1.7,3.9
"65","Nelson Dean",0.2,1.8,4
"66","Edsall Walker",0.2,3.6,4.5
"67","Andy Cooper",0.3,2,4
"68","Gentry Jessup",0,2.7,4.7
"69","Ted Radcliffe",0.2,2.2,4.8
"70","Rube Curry",0.2,2.1,4.2
"71","Barney Morris",0.2,3.4,5.5
"72","Wade Johnston",0.6,2.7,4.5
"73","Eugene Bremer",0.2,2.2,3.8
"74","Webster McDonald",0.4,2.2,3.9
"75","R.T. Walker",0.2,3.4,4.3
"76","Sam Streeter",0.3,2.2,4.6
"77","Murray Gillispie",NA,3.1,4.2
"78","Jimmie Newberry",0.2,2.5,4.5
"79","Leroy Matlock",0.3,2.7,4.5
"80","Willie Hubert",0,4.2,4.4
"81","Specs Roberts",0.2,4,4
"82","Jonas Gaines",0.1,3.3,5.7
"83","Willie Powell",0.1,2.6,4.9
"84","Terris McDuffie",0.4,2.6,4.2
"85","George Nash",0.4,2.3,4.4
"86","Jesse Brown",0,3.8,3
"87","Carl Glass",0.1,2.3,4
"88","Jim Willis",0.3,2,4.2
"89","Steel Arm Tyler",0,2.6,4.8
"90","Joe Strong",0.3,3.3,3.7
"91","Henry Merchant",0.2,2.5,1.3
"92","Jimmy Hill",0.1,5.1,5
"93","Dan Bankhead",0,4.1,7
"94","Tite Figueroa",0.5,6.1,4.4
"95","Elbert Williams",0.3,3.7,5
"96","Ted Alexander",0.1,3.2,4.4
"97","Eddie Miller",0.2,3,2.8
"98","Cheo Hernández",0.1,2.8,3.4
"99","Walter McCoy",0.3,4.3,7.6
"100","Frank Thompson",0.1,2.8,4.5
"101","Lefty Smart",NA,2.8,4.5
"102","Barney Brown",0.3,2.7,4.9
"103","Henry McHenry",0.1,2.7,5
"104","Silvino Ruiz",0.3,2.5,2.8
"105","Bill McCall",0.4,2.8,4.9
"106","Joe Black",0.3,3.5,5.3
"107","Víctor Greenidge",0.3,3.5,3.1
"108","Roy Welmaker",0.1,2.9,4.7
"109","Bert Hunter",0.5,2.9,5.5
"110","Bill Drake",0.1,3.1,4.1
"111","Maurice Young",NA,1.7,2.9
"112","Darltie Cooper",0.4,2.8,3.2
"113","Johnny Taylor",0.3,4.5,6.7
"114","Logan Hensley",0.3,3.1,3.9
"115","Harry Salmon",0.1,1.6,4.6
"116","Lefty Bowe",NA,4.3,7.8
"117","Johnny Markham",0.2,2.1,5.3
"118","Laymon Yokely",0.4,3.9,4.4
"119","Everett Nelson",0.1,1.8,2.3
"120","Phil Cockrell",0.4,2.9,3.6
"121","Lewis Hampton",0.3,2.1,3
"122","Bill Holland",0.4,2.3,4.9
"123","Don Newcombe",0.3,3.7,5.4
"124","Pat Scantlebury",0.3,2.3,4.4
"125","Alfred Saylor",0.3,1.6,3.4
"126","Verdell Mathis",0.2,2.6,5.2
"127","Willie Pope",0.3,3.4,5.8
"128","Pedro Dibut",0.8,2.6,2.6
"129","Yellow Horse Morris",0.2,3.3,3.2
"130","Jesús Lorenzo",NA,3.2,3
"131","Percy Bailey",0.5,3.3,4.5
"132","Jim Jeffries",0.2,2.8,3.6
"133","Roosevelt Davis",0.3,2.3,3.9
"134","Bob McClure",0.3,3.5,4
"135","J.C. Hamilton",NA,2.4,4.6
"136","Jack Matchett",0.1,2.7,4.5
"137","Hubert Lockhart",0.2,3.3,3.3
"138","Army Cooper",0.1,3.3,6.2
"139","Andy Porter",0.4,2.8,4.9
"140","Walter Cannady",0.3,3.9,3.7
"141","Claude Grier",0.1,3.9,6.2
"142","Cliff Bell",0.2,2.3,3.4
"143","Floyd Kranson",0.1,3.7,4.9
"144","Leniel Hooker",0.2,2.8,3.9
"145","Johnny Juran",0.6,4.8,2.2
"146","Bill Force",0.6,2.7,4.4
"147","Samuel Thompson",0.4,2.2,4.2
"148","Robert Poindexter",0.2,3.1,4.5
"149","Eddie Dixon",0.2,2.2,4.3
"150","Oscar Levis",0.4,3.2,4.5
"151","Lefty Holmes",0.3,4.1,5.7
"152","Frog Holsey",0,2.8,3.3
"153","Telosh Howard",0.2,3.5,7.1
"154","Square Moore",0.1,3.4,3.9
"155","Jesse Hubbard",0.4,3.4,3.8
"156","Willie Ferrell",0.2,3.4,3.6
"157","Fred Bell",0.2,4.4,4.1
"158","Lefty Capers",0.1,2.9,2.4
"159","Heliodoro Díaz",0.2,3.4,5.5
"160","James Brown",0.1,3.6,4
"161","Aubry Owens",0.2,3.9,4.3
"162","Dicta Johnson",0.3,2.2,3.5
"163","Gready McKinnis",0.1,3.1,4.6
"164","George Mitchell",0.2,3.6,3.4
"165","Willie Cornelius",0.2,3.4,4.8
"166","Lefty Williams",0.2,3.4,3.8
"167","Jimmy Direaux",0.3,4.3,3.7
"168","Luther McDonald",0.2,2.2,2.7
"169","Frank Pearson",0.1,1.8,4.2
"170","Felix Evans",0.2,3.8,5
"171","Tom Johnson",0.3,2.5,3.7
"172","Esteban Montalvo",0.2,3.2,3
"173","Porter Moss",0.1,2.6,5.5
"174","Robert Griffith",0.4,3.1,4.7
"175","Charlie Shields",0.1,5.3,5.3
"176","Bullet Campbell",0.4,3,3.1
"177","Bo Mitchell",0.4,2.7,4.6
"178","John Williams",0.2,3,4.1
"179","Peanuts Davis",0.4,2.1,3.9
"180","Bill Gatewood",0.3,3,4.2
"181","Rocky Ellis",0.5,2.7,4
"182","Alex Albritton",0.3,2.3,1.8
"183","Eugene Smith",0.2,4.7,5.9
"184","Jack Marshall",0.4,4,3.8
"185","Woody Williams",0.5,4.4,5.6
"186","Isidro Fabré",0.4,2.2,2.7
"187","Cliff Carter",0.3,3.5,3.7
"188","Cool Papa Bell",0.5,2.7,4.2
"189","Marvin Barker",0.2,3,2.1
"190","Dick Redding",0.3,2.4,3.9
"191","Connie Rector",0.4,3.1,3
"192","Henry Wright",0.2,2.9,3.2
"193","Luther Farrell",0.4,3.3,5
"194","Ernest Burke",0,2,2.6
"195","Willie Jefferson",0.3,1.8,4.9
"196","Deacon Meyers",0.5,2.9,4
"197","Sam Crawford",0.3,3.1,4.4
"198","Cecil Kaiser",0.3,1.9,4.5
"199","Andy Sarvis",NA,1.2,4.2
"200","Alonzo Boone",0.1,3.8,4.5
"201","Latimer",0.3,2.6,3.4
"202","Henry Miller",0.4,3.6,5.2
"203","Willie Cathey",0.5,2.4,6.5
"204","Lefty Johnson",NA,4.5,4.5
"205","Malvin Powell",0.2,3.3,3.7
"206","George Britt",0.2,3.1,4.7
"207","Ches Buchanan",0.1,2.4,3.4
"208","Dizzy Dismukes",0.4,2.9,3.3
"209","Charles Corbett",0.4,3.1,2.7
"210","Charley Wilson",0.3,2,2.8
"211","Juanelo Mirabal",0.3,2.5,3.1
"212","Tommy Johnson",0.2,3.5,3.3
"213","Basilio Rosell",0.6,2.6,4.2
"214","Bob Saunders",0.8,2.3,2.1
"215","Warren Peace",0.3,4.8,4.5
"216","Archie Hinton",0.2,6.3,5
"217","Frank McAllister",0.1,3.7,6.1
"218","Neck Stanley",0.4,3,4.5
"219","Alonzo Perry",0.5,4.5,4.3
"220","Emery Adams",0.1,3.8,3.7
"221","Eddie Locke",0.1,4.5,4.4
"222","John Harper",0.1,3,3.7
"223","Willie Gisentaner",0.3,3.2,3.8
"224","Ping Gardner",0.3,3.2,3.5
"225","Connie Johnson",0.4,4.4,6
"226","Willie Spearman",0.2,3.6,4.1
"227","Spoon Carter",0.4,3.2,3.9
"228","Claudio Manela",0.3,2.7,4.2
"229","Leo Hannibal",0.1,4.5,4.7
"230","Satchel Davis",0.4,3.3,4.4
"231","Ted Shaw",0.1,3.5,4.3
"232","Nate Moreland",0.1,3.7,5.5
"233","John Taylor",0.2,2.3,3.7
"234","Guillermo Molina",NA,3.5,2.6
"235","Johnny Williams",0.3,2.6,3.3
"236","Herman Gordon",0.7,4.9,2.7
"237","Robert Dean",0.2,3.5,4.5
"238","Robert Keyes",0.2,3.1,3.3
"239","Lucas Boada",0.5,2.4,2.8
"240","Bill Anderson",0.3,3.3,2.9
"241","Al Jones",0.3,2.5,3.4
"242","Fay Washington",0.4,4.9,6
"243","John Richardson",0.5,2.9,3.2
"244","Willie Hutchinson",0.1,2.9,5.3
"245","Earl Harrison",0.1,4.2,3.2
"246","William Ross",0.3,2.9,3.2
"247","Cristóbal Torriente",0.4,2.2,3
"248","David Gómez",0.3,2.7,2.4
"249","Earl Gurley",0.3,3.6,4
"250","Script Lee",0.5,3.9,3.4
"251","Lefty Moses",0,4.5,6.1
"252","Anthony Mahoney",0.4,3.7,4.5
"253","Manuel Godínez",0.8,1.4,4.8
"254","Roy Roberts",0.3,4,4.2
"255","Albert Davis",0.1,2.5,2.2
"256","Cotton Williams",0.2,3,4.5
"257","Roy Williams",0.1,3.8,4.4
"258","Sensation Clark",0.3,4.2,6.4
"259","Jimmy Cooke",0.8,4.9,4.1
"260","Wayne Carr",0.3,3.2,3.8
"261","Otis Starks",0.5,3.1,3.9
"262","Big Train Jackson",0,3.5,5.6
"263","Theolic Smith",0.5,3.1,3.8
"264","Bill Pryor",0,6.2,4.9
"265","John Donaldson",0,2.4,4.5
"266","Bun Hayes",0.6,3.4,3.6
"267","John Mungin",0.4,1.9,2.4
"268","Tom Glover",0.3,2.9,5.5
"269","Harold Treadwell",0.5,4.7,4.4
"270","José Agustín Rodríguez",0.4,2.4,3.3
"271","Doc Sykes",0.3,2.9,3.8
"272","Jim Lewis",0.5,2.5,2.2
"273","Elbert Eatmon",0.2,4.3,4.1
"274","Preacher Henry",0.3,4.2,4.8
"275","Allen Bryant",0,2,6.6
"276","Dick Burton",0.2,3.2,3.7
"277","Dave Hoskins",0.2,2.6,5.1
"278","Lewis Woolfolk",0.2,2.5,2.7
"279","Zack Foreman",0.2,2.5,2
"280","Ciscero Warren",0,4.6,4.8
"281","Gene Collins",0.1,10.1,10.1
"282","Oscar Charleston",0.3,4,3.1
"283","Clyde Golden",0.4,4.4,5.2
"284","Harry Kenyon",0.1,3,3.3
"285","Wilbert Pritchett",0.6,4.1,2.8
"286","Cannonball Berry",0.5,4.1,5.4
"287","Sam Cooper",0.4,3.8,3.6
"288","José Suárez",0.3,2,3.6
"289","Ollie West",0.2,3.4,3.6
"290","Slim Branham",0.2,3.9,3.6
"291","Archie Stewart",0.8,3.5,5.5
"292","Claude Hayslett",0.2,4.1,4.4
"293","Rube Chambers",0.3,4.5,4.9
"294","Faustino Valdés",0.3,4,3.4
"295","Pedro San",0.5,5.1,4.4
"296","Alvin Gipson",0,2.6,5.7
"297","Jim Missouri",0.4,3.7,5.2
"298","Homer Craig",0.2,4.8,2.8
"299","Clarence Locke",0.3,3.1,4.3
"300","Lefty Calhoun",0,3.2,4.4
"301","Clarence White",0.3,2.7,3.1
"302","Charlie Henry",0.2,2.9,3.4
"303","Tom Parker",0.3,5.5,5.7
"304","Pete Sunkett",0.1,4,4.2
"305","String Bean Williams",0.1,2.5,3.2
"306","Bernardo Baró",0,4.2,3.6
"307","Carrenza Howard",0.2,4.5,3.5
"308","Steel Arm Davis",0.8,5.2,4
"309","Raúl Álvarez",0.3,3.1,2.1
"310","Alex Newkirk",0.4,3.3,3.2
"311","Jim Colzie",0.3,4.1,4.5
"312","Dick Whitworth",0.1,4.7,3.9
"313","Bill Barnes",0.1,3.7,3.2
"314","Arnett Mitchell",0.2,3.4,3.2
"315","Jack Bruton",0.6,2.9,4
"316","Riley Stewart",0.3,3.7,4.3
"317","Martin Crue",0.6,4.6,4.5
"318","Bill Harvey",0.4,3.7,4.2
"319","George Boggs",0.6,4.3,3.5
"320","Joe Cade",0.3,7.1,3
"321","Specs Ellis",0.2,2.1,2.6
"322","Jimmy Shields",0.5,6.5,3
"323","Admiral Walker",0,3.9,2.8
"324","Lawrence Terrell",0.4,3.6,4.4
"325","Columbus Vance",0.3,3.2,4.9
"326","Lefty Gilmore",0.4,3.5,3.6
"327","Tommy Johnson",NA,2.6,2.2
"328","John Finner",0.6,2.5,3.6
"329","Diamond Pipkins",0,3.3,4.2
"330","Alonzo Mitchell",0.3,4.1,3.6
"331","Raúl López",0.5,4.9,5.4
"332","Bob Evans",0.4,3.5,4.2
"333","Tom Richardson",0.2,3,4.1
"334","Frank Stephens",0.3,3.9,3.5
"335","Arnold Waites",0.7,4.1,5.2
"336","Eddie Jefferson",0,3.9,2
"337","Howard Ross",0.1,2.9,2.3
"338","Eustaquio Pedroso",0.8,2.5,3.3
"339","Jimmy Everett",0.2,4.8,3.4
"340","Joe Fillmore",0.1,3.1,4.8
"341","Omer Newsome",0.3,2.7,3.4
"342","Earl Bumpus",0.1,5.1,4.4
"343","George Brown",0.1,4.7,3.2
"344","Jimmy Oldham",0.7,3.3,5
"345","Homer Curry",0.3,2.5,3.2
"346","Roy Williams",0.9,2.6,3.3
"347","Lefty Boone",0.1,5.3,8.6
"348","Owen Smaulding",0.1,2.8,2.3
"349","Jute Bell",0.3,2.4,2.8
"350","Armando López",0.3,4.4,3.5
"351","Harry Cunningham",0,2.9,4.3
"352","Harry Kincannon",0.4,3.7,5
"353","Pepper Sharpe",0.5,3.7,3.7
"354","Henry Gillespie",0.1,4.8,3.6
"355","Percy Miller",0.3,4.2,4.7
"356","Big Boy Davis",NA,1.1,1.9
"357","Buck Alexander",0.5,3.8,3.4
"358","Steve Wylie",0.1,6.2,5
"359","John Huber",0.3,3.4,4.1
"360","Charlie Craig",0.6,4.4,3.1
"361","Mose Offutt",NA,3.8,3.2
"362","Will Jackman",0.8,2.9,4.1
"363","Candy Jim Taylor",0.9,2.6,2.4
"364","Scottie Duncan",0.3,3.7,5.2
"365","Harry Rhodes",0,5.1,4.8
"366","Cándido Gálvez",0.2,3.3,3
"367","Fred Hobgood",0.1,3.5,3.7
"368","Herb Thomas",0.3,4.1,2.7
"369","Bud Barbee",0.5,5.6,4.9
"370","Bob Thurman",0.3,4.4,4.4
"371","Juan Eckelson",NA,1.4,2.6
"372","Leo Birdine",0.1,2.8,2.5
"373","Red Howard",0.5,3.4,5.3
"374","Oscar Owens",0.4,4.8,3.4
"375","Cliff Blackmon",0.2,4.9,4.8
"376","Pasqual Martínez",0.6,3.8,3.4
"377","Charlie Beverly",0.2,3.7,3.2
"378","Wilmer Harris",0.2,4.3,5.9
"379","Jack Combs",0.6,3.9,3.4
"380","Paul Carter",0.8,3.3,5
"381","Johnny Johnson",0.3,4.3,3.2
"382","Charley Davidson",0.4,3.4,1.9
"383","Luis Pillot",0.2,3.6,1.8
"384","Pee Wee Jenkins",0.3,4.4,6.8
"385","Hulon Stamps",0,3.1,4
"386","Sijo Gómez",0.7,4.5,4.5
"387","Frank Wickware",0.9,3.7,5.2
"388","Lefty Robinson",0.1,2.6,4.3
"389","Larry Kimbrough",0.2,4.7,2.9
"390","Johnnie Bob Dixon",0.5,2.9,3.2
"391","Harold Hairston",1,3.3,4.1
"392","Willie Hudson",NA,6.7,4.4
"393","John Wesley Johnson",0.5,4.8,3.5
"394","Walter Ball",0.4,4.8,3.2
"395","Thomas Albright",1.2,2.8,2.3
"396","Ossie Brown",0.5,3.7,5.2
"397","Alex Evans",0,5.1,4.6
"398","Purnell Mincy",0,5.7,3.4
"399","Herbert Gay",NA,5.9,1.9
"400","Bill Nuttall",0.1,2.6,2.7
"401","Cocaína García",0.4,3.2,3.8
"402","Ventura López",NA,2.7,1.9
"403","Johnny Davis",0.3,4.7,5.2
"404","Rogelio Alonso",0.5,3.5,3.6
"405","Rodolfo Fernández",0.5,3.5,4.3
"406","Richard Cannon",0.3,5,4.1
"407","Joe Lillard",0.4,3.5,4.6
"408","Herbert Smith",0.1,2.8,4.3
"409","Sack Morgan",0.6,7.1,4.1
"410","Fred Daniels",0,7,3.4
"411","Cándido Salazar",0.3,7.3,5
"412","Rosey McCauley",NA,6.5,8.2
"413","Willie Burns",0.5,4.2,3.1
"414","George Mack",1.1,6.1,4.2
"415","Herlen Ragland",0.2,5.1,4
"416","Ewing Waddy",0.1,3.2,3.5
"417","Hosea Allen",0.3,3.1,4.3
"418","Alonza Bailey",0.1,3.7,4.5
"419","Half Pint Allen",0.9,3.3,4.2
"420","Percy Forest",0.6,4.3,2.6
"421","Morris Williams",0.2,4.1,2.8
"422","Tom Jackson",0,6.3,3.3
"423","Mario Pedemonte",1.4,5.2,3.8
"424","Pedro Silva",0.7,5.5,2.7
"425","Isaac Lane",0.4,3.3,2.3
"426","Justo Domínguez",NA,3.5,2.1
"427","Charles Heywood",0.3,4.8,3.2
"428","Leonard Johnson",0.9,4.4,3.7
"429","Walter Thomas",0.5,3.3,4.3
"430","James Field",0.3,3.9,4
"431","Archie Cole",0.7,7.4,4.1
"432","Al Wilmore",0.5,5.3,5.1
"433","Jimmy Reese",0.2,5,2.9
"434","Ray Robinson",0,3.3,5.5
"435","Buddy Fields",0.6,3.1,4.5
